trades,win_rate,profit_factor,avg_trade,median_trade,total_return,cagr,sharpe,max_drawdown,calmar,exposure,ending_equity,family,param
69,0.7246376811594203,2.702699936237631,0.04392980242668407,0.04921128820194687,9.129755418918986,0.4721249801221785,1.0288133442660274,-0.4884931582236042,0.9664925130969118,0.12450331125827814,1012975.5418918986,ATRpct10_min,0.04
62,0.7096774193548387,2.613668721279756,0.044930505504712275,0.05016683164623048,7.034054918289591,0.4162267732604461,0.9563577347797065,-0.48849315822360406,0.8520626466377681,0.11059602649006622,803405.4918289592,ATRpct10_min,0.05
56,0.7142857142857143,2.7088718529041276,0.048023618056717114,0.05382668102337007,6.445587051200124,0.39834874205572035,0.9344044606080573,-0.4884931582236042,0.8154643219657524,0.10066225165562914,744558.7051200124,ATRpct10_min,0.06
53,0.6981132075471698,2.680435154044353,0.04989755843568032,0.06753962784286704,6.116100542366116,0.38781830044479104,0.9229292734410545,-0.4884931582236042,0.793907333021991,0.09801324503311258,711610.0542366116,ATRpct10_min,0.07
43,0.6976744186046512,2.9481561397827374,0.05833130627464949,0.07809312808383573,5.395818119065845,0.3633029921982309,0.8933202400271402,-0.508839588771357,0.7139833460589446,0.07947019867549669,639581.8119065845,ATRpct10_min,0.08
32,0.71875,3.2419445262140845,0.07136501061990676,0.08746864856040626,4.247691042187728,0.3189903323700052,0.8541186021379704,-0.45911426095451247,0.6947950858830101,0.05562913907284768,524769.1042187727,ATRpct10_min,0.1
26,0.7692307692307693,3.3420324012891203,0.07986242494531998,0.10276170715999788,3.3968081882720993,0.2805901038111309,0.8072063410232861,-0.45911426095451224,0.611155278051646,0.0423841059602649,439680.81882720994,ATRpct10_min,0.12
3,0.6666666666666666,0.40293264324505007,-0.013911151869805516,0.009537947299499416,-0.043536805816823065,-0.0074065289748906915,-0.07529897270215571,-0.1448387547434017,-0.05113637567522725,0.005298013245033113,95646.3194183177,ATRpct10_max,0.04
13,0.7692307692307693,3.188409130265242,0.022365947624664373,0.018625996667971156,0.312296655885119,0.046435539816751525,0.48096553801556946,-0.15316124725001967,0.3031807369716073,0.023178807947019868,131229.6655885119,ATRpct10_max,0.05
17,0.7647058823529411,2.12567517710615,0.018299618236669694,0.02058472707225012,0.317334768337346,0.04710541886718489,0.42596538195756883,-0.18081045320896272,0.26052375861668314,0.030463576158940398,131733.4768337346,ATRpct10_max,0.06
21,0.8095238095238095,2.5707829377616287,0.020671630913962815,0.02058472707225012,0.4861957170960989,0.06841098644797827,0.5286899528170235,-0.18993487261104036,0.3601812848137385,0.03377483443708609,148619.57170960988,ATRpct10_max,0.07
31,0.7419354838709677,1.6404686399819408,0.014551299730299639,0.020498221005306405,0.44424289544753126,0.0633138064451082,0.3931018707614051,-0.3182098386052663,0.1989687268081232,0.056291390728476824,144424.28954475312,ATRpct10_max,0.08
