wr_lookback,wr_entry,wr_exit,cci_lookback,cci_entry,cci_exit,trades,win_rate,profit_factor,avg_trade,median_trade,avg_hold_days,total_return,cagr,sharpe,max_drawdown,calmar,exposure,ending_equity
2,-85,-30,8,-50,100,95,0.7052631578947368,2.656971770598207,0.03864830537642963,0.049462720427476015,4.136842105263158,17.54420771067009,0.6285569897017518,1.186502851139279,-0.37918942400912536,1.6576332299991186,0.1741721854304636,1854420.7710670088
2,-80,-40,3,-80,50,132,0.7348484848484849,2.2579606715542737,0.028370352115918557,0.04060718580579803,3.3106060606060606,19.964883076740275,0.6622713798595297,1.239928067955005,-0.40065864732319667,1.6529566609485895,0.20132450331125828,2096488.3076740275
2,-95,-40,20,-80,-50,43,0.813953488372093,6.070877967399664,0.06478655367058878,0.06346153846153846,2.8372093023255816,9.36247742065816,0.4777200685933607,1.3204922333648101,-0.28936755739996634,1.650910948296294,0.05695364238410596,1036247.7420658158
2,-95,-40,20,-80,0,43,0.813953488372093,6.070877967399664,0.06478655367058878,0.06346153846153846,2.8372093023255816,9.36247742065816,0.4777200685933607,1.3204922333648101,-0.28936755739996634,1.650910948296294,0.05695364238410596,1036247.7420658158
2,-95,-40,20,-80,50,43,0.813953488372093,6.070877967399664,0.06478655367058878,0.06346153846153846,2.8372093023255816,9.36247742065816,0.4777200685933607,1.3204922333648101,-0.28936755739996634,1.650910948296294,0.05695364238410596,1036247.7420658158
2,-95,-40,20,-80,100,43,0.813953488372093,6.070877967399664,0.06478655367058878,0.06346153846153846,2.8372093023255816,9.36247742065816,0.4777200685933607,1.3204922333648101,-0.28936755739996634,1.650910948296294,0.05695364238410596,1036247.7420658158
2,-85,-30,8,-50,-50,95,0.7052631578947368,2.6445936103640277,0.03835958898112482,0.049462720427476015,4.126315789473685,17.093711227057636,0.6218817738163702,1.1787448086529595,-0.37918942400912536,1.6400293216020823,0.17350993377483442,1809371.1227057634
2,-80,-30,3,-80,0,128,0.7265625,2.2529696928447103,0.02941315399271506,0.045538680713006596,3.6328125,19.51223803595068,0.6562228694328274,1.1985602712543795,-0.4006586473231968,1.6378602429201439,0.21324503311258278,2051223.8035950682
2,-85,-30,5,-120,0,53,0.7169811320754716,3.0433046735269285,0.05003905878989604,0.06465100545670222,4.169811320754717,7.497014751939561,0.42954031366474243,1.0705014739398417,-0.26268373636794695,1.6351994973266093,0.10066225165562914,849701.4751939562
2,-85,-30,5,-120,50,53,0.7169811320754716,3.0433046735269285,0.05003905878989604,0.06465100545670222,4.169811320754717,7.497014751939561,0.42954031366474243,1.0705014739398417,-0.26268373636794695,1.6351994973266093,0.10066225165562914,849701.4751939562
2,-85,-30,5,-120,100,53,0.7169811320754716,3.0433046735269285,0.05003905878989604,0.06465100545670222,4.169811320754717,7.497014751939561,0.42954031366474243,1.0705014739398417,-0.26268373636794695,1.6351994973266093,0.10066225165562914,849701.4751939562
2,-85,-40,3,-80,50,110,0.7181818181818181,2.1938751551867077,0.029437306446866707,0.036108467628164664,3.5090909090909093,11.844428695635807,0.5316728575468475,1.1248206021659697,-0.3257011937607833,1.6323945620455522,0.176158940397351,1284442.8695635807
2,-80,-40,3,-50,-50,164,0.725609756097561,2.0018265601105485,0.021945250134361296,0.028962963356897187,2.8658536585365852,19.21853180452022,0.65223844712917,1.2144347333805614,-0.4006586473231968,1.627915562254252,0.20662251655629138,2021853.1804520222
2,-90,-30,5,-80,-50,71,0.7323943661971831,2.7813414172076576,0.044816217299641685,0.059899424847525085,3.7464788732394365,11.727352975230964,0.5293323270324988,1.1449909610668763,-0.32570119376078344,1.625208433903609,0.12450331125827814,1272735.2975230964
2,-90,-40,5,-80,-50,73,0.7397260273972602,2.8984892611166444,0.0427060339242414,0.05498174827282165,3.315068493150685,11.682276759873467,0.5284263979391335,1.2146372827323206,-0.3257011937607833,1.6224269608518693,0.1152317880794702,1268227.6759873468
2,-90,-30,10,-50,-50,72,0.7361111111111112,2.963229209279362,0.04422399174057308,0.05304904250058051,3.986111111111111,11.59338057685818,0.5266318984500693,1.1302846241588198,-0.3257011937607833,1.6169173111378365,0.13112582781456952,1259338.057685818
2,-80,-40,3,-50,50,151,0.7350993377483444,2.11732837535308,0.024958851772741476,0.03368740515933233,3.384105960264901,18.515746463196816,0.6425050499224989,1.179820688353334,-0.40065864732319667,1.603622071344472,0.2324503311258278,1951574.6463196815
