trades,win_rate,profit_factor,avg_trade,total_return,cagr,sharpe,max_drawdown,calmar,exposure,family,param,period
71,0.7183098591549296,2.56608440885869,0.04080870191112186,7.872429658021607,0.4398996018604764,0.9802154480672237,-0.4884931582236043,0.9005235681501919,0.12847682119205298,CloseLocation_low,-0.2,IS
71,0.7183098591549296,2.56608440885869,0.04080870191112186,7.872429658021607,0.4398996018604764,0.9802154480672237,-0.4884931582236043,0.9005235681501919,0.12847682119205298,CloseLocation_low,0.0,IS
70,0.7142857142857143,2.538452234587207,0.04066136372284483,7.44091027674831,0.42795955161062227,0.9637106565765082,-0.4884931582236043,0.8760809530411617,0.12781456953642384,Ret1_down,-0.01,IS
69,0.7246376811594203,2.6856478198912117,0.043489856382103696,8.837439276438598,0.4649433769139524,1.020429671282375,-0.4884931582236044,0.9517909700203574,0.12317880794701987,Ret1_down,-0.02,IS
66,0.7424242424242424,2.9887250835786787,0.047462977899706146,10.42080603983478,0.5019155523999459,1.0781121932548592,-0.4884931582236043,1.0274771385236017,0.11456953642384106,Ret1_down,-0.03,IS
58,0.7413793103448276,2.837725310976159,0.04777806916185315,7.154456628481691,0.41974948862734895,0.969334358276781,-0.4884931582236043,0.8592740380515455,0.10463576158940398,Ret1_down,-0.05,IS
51,0.7254901960784313,2.711620209739419,0.04890648368282733,6.665313620018426,0.4051574537154432,0.9711091646755532,-0.4884931582236042,0.8294025144360063,0.09271523178807947,Ret1_down,-0.07,IS
39,0.717948717948718,2.921711830176379,0.05612177396137074,5.0459829726927525,0.3505556353337731,0.9227368621015215,-0.508839588771357,0.6889315278715321,0.07152317880794702,Ret1_down,-0.1,IS
33,0.696969696969697,2.4197087462181277,0.030850347559822057,1.4508149944211577,0.16149834825666654,0.7725252197434134,-0.22570003173662223,0.7155441982618991,0.05894039735099338,QQQ_above_EMA50,0.0,IS
53,0.6981132075471698,2.0384765398157807,0.024654113419197543,1.9691505326900929,0.19931735544703488,0.7280577869609528,-0.4181529182873529,0.4766614000050212,0.09271523178807947,QQQ_above_EMA200,0.0,IS
