cci_lookback,cci_entry,cci_exit,trades,win_rate,profit_factor,avg_trade,median_trade,avg_hold_days,total_return,cagr,sharpe,max_drawdown,calmar,exposure,ending_equity
10,-100,100,51,0.7647058823529411,2.9184204201520934,0.048047435439471646,0.06289308176100628,3.8627450980392157,6.150570807307066,0.38893877530001064,0.9884763666493462,-0.29676272209763677,1.3106052288199708,0.09337748344370861,715057.0807307066
10,-100,150,51,0.7647058823529411,2.9184204201520934,0.048047435439471646,0.06289308176100628,3.8627450980392157,6.150570807307066,0.38893877530001064,0.9884763666493462,-0.29676272209763677,1.3106052288199708,0.09337748344370861,715057.0807307066
14,-150,0,30,0.8333333333333334,5.147230268408285,0.07036760740751681,0.07559852155753821,3.6333333333333333,4.822536502481915,0.3420882912608749,1.021800282222952,-0.27089273007027304,1.2628182792950289,0.05364238410596026,582253.6502481916
14,-150,50,30,0.8333333333333334,5.147230268408285,0.07036760740751681,0.07559852155753821,3.6333333333333333,4.822536502481915,0.3420882912608749,1.021800282222952,-0.27089273007027304,1.2628182792950289,0.05364238410596026,582253.6502481916
14,-150,100,30,0.8333333333333334,5.147230268408285,0.07036760740751681,0.07559852155753821,3.6333333333333333,4.822536502481915,0.3420882912608749,1.021800282222952,-0.27089273007027304,1.2628182792950289,0.05364238410596026,582253.6502481916
14,-150,150,30,0.8333333333333334,5.147230268408285,0.07036760740751681,0.07559852155753821,3.6333333333333333,4.822536502481915,0.3420882912608749,1.021800282222952,-0.27089273007027304,1.2628182792950289,0.05364238410596026,582253.6502481916
14,-120,0,42,0.7380952380952381,3.1793987081058805,0.05182709172112741,0.06640910401452471,3.6904761904761907,4.822770410614732,0.34209729552788404,0.9452362165047934,-0.28537808697788536,1.1987510994647392,0.076158940397351,582277.0410614732
14,-120,50,42,0.7380952380952381,3.1793987081058805,0.05182709172112741,0.06640910401452471,3.6904761904761907,4.822770410614732,0.34209729552788404,0.9452362165047934,-0.28537808697788536,1.1987510994647392,0.076158940397351,582277.0410614732
14,-120,100,42,0.7380952380952381,3.1793987081058805,0.05182709172112741,0.06640910401452471,3.6904761904761907,4.822770410614732,0.34209729552788404,0.9452362165047934,-0.28537808697788536,1.1987510994647392,0.076158940397351,582277.0410614732
14,-120,150,42,0.7380952380952381,3.1793987081058805,0.05182709172112741,0.06640910401452471,3.6904761904761907,4.822770410614732,0.34209729552788404,0.9452362165047934,-0.28537808697788536,1.1987510994647392,0.076158940397351,582277.0410614732
10,-120,0,46,0.7391304347826086,2.8551619803298025,0.046069432544299106,0.06115862658522353,3.847826086956522,4.356896035725556,0.32353523201661516,0.8876437076045073,-0.27089273007027304,1.1943296962332137,0.08410596026490066,535689.6035725556
10,-120,50,46,0.7391304347826086,2.8551619803298025,0.046069432544299106,0.06115862658522353,3.847826086956522,4.356896035725556,0.32353523201661516,0.8876437076045073,-0.27089273007027304,1.1943296962332137,0.08410596026490066,535689.6035725556
10,-120,100,46,0.7391304347826086,2.8551619803298025,0.046069432544299106,0.06115862658522353,3.847826086956522,4.356896035725556,0.32353523201661516,0.8876437076045073,-0.27089273007027304,1.1943296962332137,0.08410596026490066,535689.6035725556
10,-120,150,46,0.7391304347826086,2.8551619803298025,0.046069432544299106,0.06115862658522353,3.847826086956522,4.356896035725556,0.32353523201661516,0.8876437076045073,-0.27089273007027304,1.1943296962332137,0.08410596026490066,535689.6035725556
10,-80,0,58,0.7241379310344828,2.828957079197385,0.04411160064070215,0.05304904250058051,4.051724137931035,6.279643459996328,0.3930947847037507,0.964158683851781,-0.3311536351212696,1.1870465639303582,0.11125827814569536,727964.3459996328
10,-80,50,58,0.7241379310344828,2.828957079197385,0.04411160064070215,0.05304904250058051,4.051724137931035,6.279643459996328,0.3930947847037507,0.964158683851781,-0.3311536351212696,1.1870465639303582,0.11125827814569536,727964.3459996328
10,-80,100,58,0.7241379310344828,2.828957079197385,0.04411160064070215,0.05304904250058051,4.051724137931035,6.279643459996328,0.3930947847037507,0.964158683851781,-0.3311536351212696,1.1870465639303582,0.11125827814569536,727964.3459996328
10,-80,150,58,0.7241379310344828,2.828957079197385,0.04411160064070215,0.05304904250058051,4.051724137931035,6.279643459996328,0.3930947847037507,0.964158683851781,-0.3311536351212696,1.1870465639303582,0.11125827814569536,727964.3459996328
20,-120,0,37,0.7297297297297297,4.615218315076088,0.06121640354233213,0.06465100545670222,3.6216216216216215,5.142293603816288,0.3541250594874654,0.9960493911713149,-0.330889238620215,1.0702223528457502,0.06688741721854305,614229.3603816289
20,-120,50,37,0.7297297297297297,4.615218315076088,0.06121640354233213,0.06465100545670222,3.6216216216216215,5.142293603816288,0.3541250594874654,0.9960493911713149,-0.330889238620215,1.0702223528457502,0.06688741721854305,614229.3603816289
