symbol,strategy,partition,cost_bps_per_side,total_return,cagr,sharpe,max_drawdown,calmar,trades,win_rate,exposure,spec
TQQQ,rsi2,VALIDATION,25,0.10194030944253041,0.0499084276027415,0.3171249382795649,-0.26049465044878195,0.1915909885932741,34,0.5882352941176471,0.2714570858283433,FMZ482838 defaults RSI2<25 recovery + SMA50; exact source counter semantics
TQQQ,rsi2,VALIDATION,50,-0.0703340357720098,-0.03592886047424049,-0.006955403552322876,-0.29079086805123733,-0.12355566980153526,34,0.5294117647058824,0.2714570858283433,FMZ482838 defaults RSI2<25 recovery + SMA50; exact source counter semantics
TQQQ,rsi2,OOS_REUSED,0,0.6696617116836927,0.292380768209175,1.1942148689741907,-0.22099373797107025,1.3230273893437192,22,0.7272727272727273,0.1749502982107356,FMZ482838 defaults RSI2<25 recovery + SMA50; exact source counter semantics
TQQQ,rsi2,OOS_REUSED,5,0.6333302622990249,0.2782328511586072,1.1474834365441895,-0.2225501936503348,1.2502026917835873,22,0.7272727272727273,0.1749502982107356,FMZ482838 defaults RSI2<25 recovery + SMA50; exact source counter semantics
TQQQ,rsi2,OOS_REUSED,10,0.5977893592026751,0.26423980685862025,1.100734585420623,-0.22410354030471635,1.1790969767783683,22,0.7272727272727273,0.1749502982107356,FMZ482838 defaults RSI2<25 recovery + SMA50; exact source counter semantics
TQQQ,rsi2,OOS_REUSED,25,0.49573961294889735,0.22317298305142708,0.9605082297559864,-0.2288622565001157,0.9751410584877906,22,0.7272727272727273,0.1749502982107356,FMZ482838 defaults RSI2<25 recovery + SMA50; exact source counter semantics
TQQQ,rsi2,OOS_REUSED,50,0.3399324532824406,0.15767052090386735,0.7275991041252498,-0.2387408718296592,0.6604253377124497,22,0.7272727272727273,0.1749502982107356,FMZ482838 defaults RSI2<25 recovery + SMA50; exact source counter semantics
TQQQ,volume,IS,0,0.02474127406452009,0.004090083920111454,0.09165101879357561,-0.21176995107067864,0.019313806795688306,6,0.6666666666666666,0.04105960264900662,"FMZ458248 defaults ADX14/14, TTI13/26/9, VPCI5/25; exact long-only rules"
TQQQ,volume,IS,5,0.01861123441834489,0.0030844316683049655,0.08161695135061642,-0.21176995107067864,0.014565011007040987,6,0.6666666666666666,0.04105960264900662,"FMZ458248 defaults ADX14/14, TTI13/26/9, VPCI5/25; exact long-only rules"
TQQQ,volume,IS,10,0.012517861855173784,0.002079786131277128,0.071588036866124,-0.21176995107067864,0.009820969031545912,6,0.6666666666666666,0.04105960264900662,"FMZ458248 defaults ADX14/14, TTI13/26/9, VPCI5/25; exact long-only rules"
TQQQ,volume,IS,25,-0.005544469694984122,-0.0009281252645232385,0.04154702155588339,-0.21176995107067875,-0.004382705194154172,6,0.6666666666666666,0.04105960264900662,"FMZ458248 defaults ADX14/14, TTI13/26/9, VPCI5/25; exact long-only rules"
TQQQ,volume,IS,50,-0.0349354945257101,-0.0059213168633333035,-0.008281421246224028,-0.21176995107067864,-0.02796108151036524,6,0.3333333333333333,0.04105960264900662,"FMZ458248 defaults ADX14/14, TTI13/26/9, VPCI5/25; exact long-only rules"
TQQQ,volume,VALIDATION,0,0.07494474061297751,0.03692408145467252,0.42979145294049126,-0.11036839133498277,0.33455304555996485,3,0.6666666666666666,0.043912175648702596,"FMZ458248 defaults ADX14/14, TTI13/26/9, VPCI5/25; exact long-only rules"
TQQQ,volume,VALIDATION,5,0.07172473854091521,0.03536452788034783,0.4138918326528153,-0.11125757835013994,0.3178617439348872,3,0.6666666666666666,0.043912175648702596,"FMZ458248 defaults ADX14/14, TTI13/26/9, VPCI5/25; exact long-only rules"
TQQQ,volume,VALIDATION,10,0.06851438039756808,0.03380731912629287,0.3979693778456155,-0.11214587706658086,0.30145842192862343,3,0.6666666666666666,0.043912175648702596,"FMZ458248 defaults ADX14/14, TTI13/26/9, VPCI5/25; exact long-only rules"
TQQQ,volume,VALIDATION,25,0.05894086529933529,0.029149718823894055,0.3501050284525949,-0.11529895013524571,0.25281859713120913,3,0.6666666666666666,0.043912175648702596,"FMZ458248 defaults ADX14/14, TTI13/26/9, VPCI5/25; exact long-only rules"
TQQQ,volume,VALIDATION,50,0.04317506154161421,0.021433548569309124,0.2702472833885032,-0.12191771611266411,0.17580339636203807,3,0.6666666666666666,0.043912175648702596,"FMZ458248 defaults ADX14/14, TTI13/26/9, VPCI5/25; exact long-only rules"
TQQQ,volume,OOS_REUSED,0,0.0,0.0,,0.0,,0,0.0,0.0,"FMZ458248 defaults ADX14/14, TTI13/26/9, VPCI5/25; exact long-only rules"
TQQQ,volume,OOS_REUSED,5,0.0,0.0,,0.0,,0,0.0,0.0,"FMZ458248 defaults ADX14/14, TTI13/26/9, VPCI5/25; exact long-only rules"
TQQQ,volume,OOS_REUSED,10,0.0,0.0,,0.0,,0,0.0,0.0,"FMZ458248 defaults ADX14/14, TTI13/26/9, VPCI5/25; exact long-only rules"
TQQQ,volume,OOS_REUSED,25,0.0,0.0,,0.0,,0,0.0,0.0,"FMZ458248 defaults ADX14/14, TTI13/26/9, VPCI5/25; exact long-only rules"
TQQQ,volume,OOS_REUSED,50,0.0,0.0,,0.0,,0,0.0,0.0,"FMZ458248 defaults ADX14/14, TTI13/26/9, VPCI5/25; exact long-only rules"
